"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2016-06-28T05:22:49Z"
"Version","20160501000000"
"OfferCode","AmazonVPC"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Endpoint Type","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation"
"75MKNR5C9SPZBNC9","JRTCKXETXF","75MKNR5C9SPZBNC9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Oregon) data transfer to Asia Pacific (Seoul)","2016-05-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","US West (Oregon)","AWS Region","Asia Pacific (Seoul)","AWS Region","USW2-APN2-AWS-Out-Bytes",""
"ZY47683ZNZZQZQ3C","JRTCKXETXF","ZY47683ZNZZQZQ3C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per VPN Connection-Hour","2016-05-01","0","Inf","Hrs","0.0500000000","USD","Cloud Connectivity","AmazonVPC","US West (N. California)","AWS Region","IPsec",,,,,,"USW1-VPN-Usage-Hours:ipsec.1","CreateVpnConnection"
"6UN7C5R4W7H9HNZN","JRTCKXETXF","6UN7C5R4W7H9HNZN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to AWS GovCloud (US)","2016-05-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","EU (Ireland)","AWS Region","AWS GovCloud (US)","AWS Region","EU-UGW1-AWS-Out-Bytes",""
"Y8HYRU3BZZ4QFJHH","JRTCKXETXF","Y8HYRU3BZZ4QFJHH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Seoul)","2016-05-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","US East (N. Virginia)","AWS Region","Asia Pacific (Seoul)","AWS Region","USE1-APN2-AWS-Out-Bytes",""
"9MG5B7V4UUU2WPAV","JRTCKXETXF","9MG5B7V4UUU2WPAV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per GB - data transfer in per month","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"AWS Inbound","External","Other","US East (N. Virginia)","AWS Region","DataTransfer-In-Bytes",""
"WK6P2VY4UVDH4G8W","JRTCKXETXF","WK6P2VY4UVDH4G8W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of Asia Pacific (Mumbai) to CloudFront","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","Asia Pacific (Mumbai)","AWS Region","Amazon CloudFront","AWS Edge Location","APS3-CloudFront-Out-Bytes",""
"GCF436UDTTAVUJRC","JRTCKXETXF","GCF436UDTTAVUJRC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Tokyo) data transfer from South America (Sao Paulo)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","Asia Pacific (Tokyo)","AWS Region","South America (Sao Paulo)","AWS Region","APN1-SAE1-AWS-In-Bytes",""
"Z2ZE5ZK63EMSMFRU","JRTCKXETXF","Z2ZE5ZK63EMSMFRU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.16 per GB - South America (Sao Paulo) data transfer to US West (Northern California)","2016-05-01","0","Inf","GB","0.1600000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Outbound","South America (Sao Paulo)","AWS Region","US West (N. California)","AWS Region","SAE1-USW1-AWS-Out-Bytes",""
"FKFB98XUH3AUXAGT","JRTCKXETXF","FKFB98XUH3AUXAGT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - AWS GovCloud (US) data transfer from South America (Sao Paulo)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","AWS GovCloud (US)","AWS Region","South America (Sao Paulo)","AWS Region","UGW1-SAE1-AWS-In-Bytes",""
"N7SVZUB63F47UVC3","JRTCKXETXF","N7SVZUB63F47UVC3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Oregon) data transfer from Asia Pacific (Sydney)","2016-05-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,"InterRegion Inbound","US West (Oregon)","AWS Region","Asia Pacific (Sydney)","AWS Region","USW2-APS2-AWS-In-Bytes",""
